Row #,Species,Count,Location,S/P,Date,LocID,SubID
124,Black Guillemot,1,Petit Manan NWR--Hollingsworth Trail,US-ME,31 May 2019,L2911963,S56992041
125,Atlantic Puffin,110,Petit Manan NWR--Petit Manan Island,US-ME,01 Jun 2019,L234625,S57113631
126,Sabine's Gull,1,BBC Pelagic 21 Sep 2019 - leg A,US-MA,21 Sep 2019,L9953429,S60066360
127,Bonaparte's Gull,1,Nokomis Public Beach,US-FL,20 Mar 2019,L2602995,S54039594
128,Black-headed Gull,1,Short Beach Park,US-CT,10 Sep 2019,L249800,S59659287
129,Laughing Gull,1,Estero Bay Preserve SP--Winkler Point,US-FL,04 Jan 2019,L2589166,S51291796
130,Ring-billed Gull,1,Estero Bay Preserve SP--Winkler Point,US-FL,01 Jan 2019,L2589166,S51174840
131,Herring Gull,5,Parrish Park,US-FL,24 Jan 2019,L814410,S51992496
132,Lesser Black-backed Gull,1,"5896 Cove Street, Saint James City, Florida, US (26.547, -82.081)",US-FL,17 Jan 2019,L8445085,S51766016
133,Great Black-backed Gull,3,Parrish Park,US-FL,24 Jan 2019,L814410,S51992496
134,Least Tern,2,Point Ybel Lighthouse Beach Park,US-FL,28 Apr 2019,L127398,S55508094
135,Gull-billed Tern,1,Orlando Wetlands Park,US-FL,22 Jan 2019,L452007,S51929757
136,Caspian Tern,7,Stormwater Treatment Area 5/6,US-FL,12 Jan 2019,L207305,S51593860
137,Black Tern,8,Messalonskee Lake--boat ramp,US-ME,30 May 2019,L332603,S56904012
138,Roseate Tern,3,Sandy Point,US-CT,19 Aug 2019,L109233,S59102526
139,Common Tern,2,Petit Manan NWR--Hollingsworth Trail,US-ME,31 May 2019,L2911963,S56992041
140,Arctic Tern,1,ABF Pelagic 2019--Segment II,US-ME,01 Jun 2019,L9390700,S57113626
141,Forster's Tern,1,Estero Bay Preserve SP--Winkler Point,US-FL,01 Jan 2019,L2589166,S51174840
142,Royal Tern,8,Causeway Islands Park,US-FL,04 Jan 2019,L1300380,S51294581
143,Sandwich Tern,20,Gulfside City Park Beach,US-FL,11 Feb 2019,L3146221,S52605892
144,Black Skimmer,60,"8015 Main Street, Bokeelia, Florida, US (26.705, -82.158)",US-FL,17 Jan 2019,L8444610,S51763842
145,Common Loon,1,"13821 Waterfront Drive, Bokeelia, Florida, US (26.661, -82.153)",US-FL,17 Jan 2019,L8444787,S51764514
146,Wilson's Storm-Petrel,2,"(40.9443,-69.7112) - D",US-MA,21 Sep 2019,L9947910,S60066347
147,White-faced Storm-Petrel,1,BBC Pelagic 22 Sep 2019 - leg G,US-MA,22 Sep 2019,L9950589,S60066291
148,Leach's Storm-Petrel,1,BBC Pelagic 21 Sep 2019 - leg G,US-MA,21 Sep 2019,L9950529,S60066336
149,Northern Fulmar,1,BBC Pelagic 21 Sep 2019 - leg A,US-MA,21 Sep 2019,L9953429,S60066360
150,Bermuda Petrel,1,BBC Pelagic 21 Sep 2019 - leg K,US-MA,21 Sep 2019,L9950553,S60066325
151,Black-capped Petrel,1,"(40.1345,-69.0466) - H",US-MA,21 Sep 2019,L9947914,S60066332
152,Cory's Shearwater,2,BBC Pelagic 21 Sep 2019 - leg C,US-MA,21 Sep 2019,L9950523,S60066349
153,Great Shearwater,6,BBC Pelagic 21 Sep 2019 - leg C,US-MA,21 Sep 2019,L9950523,S60066349
154,Sooty Shearwater,3,"(40.8959,-69.5293) - J",US-MA,22 Sep 2019,L9947957,S60066273
155,Audubon's Shearwater,3,BBC Pelagic 21 Sep 2019 - leg G,US-MA,21 Sep 2019,L9950529,S60066336
156,Wood Stork,1,Estero Bay Preserve SP--Winkler Point,US-FL,01 Jan 2019,L2589166,S51174840
157,Magnificent Frigatebird,3,Causeway Islands Park,US-FL,04 Jan 2019,L1300380,S51294581
158,Brown Booby,1,BBC Pelagic 21 Sep 2019 - leg I,US-MA,21 Sep 2019,L9950533,S60066331
159,Northern Gannet,9,Petit Manan NWR--Petit Manan Island,US-ME,01 Jun 2019,L234625,S57113631
160,Anhinga,3,Estero Bay Preserve SP--Winkler Point,US-FL,01 Jan 2019,L2589166,S51174840
161,Neotropic Cormorant,1,Wakodahatchee Wetlands,US-FL,14 Feb 2019,L143084,S52683691
162,Double-crested Cormorant,3,Estero Bay Preserve SP--Winkler Point,US-FL,01 Jan 2019,L2589166,S51174840
163,American White Pelican,12,Estero Bay Preserve SP--Winkler Point,US-FL,01 Jan 2019,L2589166,S51174840
164,Brown Pelican,8,Estero Bay Preserve SP--Winkler Point,US-FL,01 Jan 2019,L2589166,S51174840
165,American Bittern,1,Orlando Wetlands Park,US-FL,22 Jan 2019,L452007,S51929757
166,Least Bittern,1,Lakes Regional Park,US-FL,19 Mar 2019,L305312,S54007001
167,Great Blue Heron,2,Estero Bay Preserve SP--Winkler Point,US-FL,01 Jan 2019,L2589166,S51174840
168,Great Egret,5,Estero Bay Preserve SP--Winkler Point,US-FL,01 Jan 2019,L2589166,S51174840
169,Snowy Egret,1,Dinner Island Ranch WMA,US-FL,07 Jan 2019,L840220,S51444192
170,Little Blue Heron,3,Estero Bay Preserve SP--Winkler Point,US-FL,01 Jan 2019,L2589166,S51174840
171,Tricolored Heron,2,Estero Bay Preserve SP--Winkler Point,US-FL,01 Jan 2019,L2589166,S51174840
172,Reddish Egret,1,"4411 Sunshine Boulevard, Saint James City, Florida, US (26.533, -82.099)",US-FL,17 Jan 2019,L8445866,S51770447
173,Cattle Egret,1,Six Mile Cypress Slough Preserve,US-FL,03 Jan 2019,L424819,S51273252
174,Green Heron,1,J. N. Ding Darling NWR--Bailey Tract,US-FL,04 Jan 2019,L127399,S51297556
175,Black-crowned Night-Heron,3,Six Mile Cypress Slough Preserve,US-FL,03 Jan 2019,L424819,S51273252
176,Yellow-crowned Night-Heron,1,St. Marks NWR--Stoney Bayou 2,US-FL,09 Feb 2019,L582780,S52519677
177,White Ibis,4,Estero Bay Preserve SP--Winkler Point,US-FL,01 Jan 2019,L2589166,S51174840
178,Glossy Ibis,12,Six Mile Cypress Slough Preserve,US-FL,03 Jan 2019,L424819,S51273252
179,White-faced Ibis,1,Lake Apopka Wildlife Drive,US-FL,20 Jan 2019,L298649,S51866010
180,Roseate Spoonbill,2,Estero Bay Preserve SP--Winkler Point,US-FL,01 Jan 2019,L2589166,S51174840
181,Black Vulture,2,Six Mile Cypress Slough Preserve,US-FL,03 Jan 2019,L424819,S51273252
182,Turkey Vulture,2,Estero Bay Preserve SP--Winkler Point,US-FL,01 Jan 2019,L2589166,S51174840
183,Osprey,1,Estero Bay Preserve SP--Winkler Point,US-FL,01 Jan 2019,L2589166,S51174840
184,Swallow-tailed Kite,1,Babcock-Webb WMA,US-FL,12 Feb 2019,L127396,S52627671
185,Snail Kite,3,Stormwater Treatment Area 5/6,US-FL,12 Jan 2019,L207305,S51593860
186,Mississippi Kite,2,Nike Recreation Fields,US-CT,03 Jun 2019,L10105900,S61120528
187,Northern Harrier,2,Dinner Island Ranch WMA,US-FL,07 Jan 2019,L840220,S51444192
188,Sharp-shinned Hawk,1,"The Plantation (Restricted Access), Fort Myers, FL",US-FL,14 Apr 2019,L6319667,S54935983
189,Cooper's Hawk,1,Hickory Swamp Preserve,US-FL,30 Jan 2019,L346219,S52198686
190,Bald Eagle,1,Estero Bay Preserve SP--Winkler Point,US-FL,01 Jan 2019,L2589166,S51174840
191,Harris's Hawk,3,Bentsen-Rio Grande Val. SP WBC (Mission) (LTC 069),US-TX,06 Oct 2019,L128890,S60397298
192,White-tailed Hawk,2,Old Port Isabel Rd,US-TX,10 Oct 2019,L389757,S60505375
193,Gray Hawk,1,Bentsen-Rio Grande Val. SP WBC (Mission) (LTC 069),US-TX,06 Oct 2019,L128890,S60397298
194,Red-shouldered Hawk,3,Estero Bay Preserve SP--Winkler Point,US-FL,01 Jan 2019,L2589166,S51174840
195,Broad-winged Hawk,1,Pine Woods Park,US-FL,27 Mar 2019,L5584024,S54272002
196,Short-tailed Hawk,1,Corkscrew Regional Ecosystem Watershed--Bird Rookery Swamp Trails,US-FL,02 Nov 2019,L1061691,S61115454
197,Zone-tailed Hawk,1,Zapata Library / City Park (LTC 085),US-TX,08 Oct 2019,L846015,S60463521
198,Red-tailed Hawk,1,Stormwater Treatment Area 5/6,US-FL,12 Jan 2019,L207305,S51593860
199,Barn Owl,1,"4411 Sunshine Boulevard, Saint James City, Florida, US (26.533, -82.099)",US-FL,17 Jan 2019,L8445866,S51770447
200,Eastern Screech-Owl,1,Point Ybel Lighthouse Beach Park,US-FL,30 Mar 2019,L127398,S54363185
201,Great Horned Owl,1,Estero Bay Preserve SP--Winkler Point,US-FL,04 Jan 2019,L2589166,S51291796
202,Burrowing Owl,2,"4916 Southwest 3rd Avenue, Cape Coral, Florida, US (26.56, -81.981)",US-FL,08 Jan 2019,L8392022,S51459277
203,Barred Owl,1,"The Plantation (Restricted Access), Fort Myers, FL",US-FL,01 Jan 2019,L6319667,S51144916
204,Belted Kingfisher,3,Estero Bay Preserve SP--Winkler Point,US-FL,01 Jan 2019,L2589166,S51174840
205,Green Kingfisher,2,Estero Llano Grande SP WBC (LTC 054),US-TX,07 Oct 2019,L259855,S60426434
206,Yellow-bellied Sapsucker,3,Six Mile Cypress Slough Preserve,US-FL,03 Jan 2019,L424819,S51273252
207,Red-headed Woodpecker,5,Six Mile Cypress Preserve North,US-FL,15 Jan 2019,L6318501,S51702688
208,Golden-fronted Woodpecker,8,Bentsen-Rio Grande Val. SP WBC (Mission) (LTC 069),US-TX,06 Oct 2019,L128890,S60397298
209,Red-bellied Woodpecker,2,Estero Bay Preserve SP--Winkler Point,US-FL,01 Jan 2019,L2589166,S51174840
210,Downy Woodpecker,2,Six Mile Cypress Slough Preserve,US-FL,03 Jan 2019,L424819,S51273252
211,Ladder-backed Woodpecker,2,Bentsen-Rio Grande Val. SP WBC (Mission) (LTC 069),US-TX,06 Oct 2019,L128890,S60397298
212,Red-cockaded Woodpecker,4,Babcock-Webb WMA,US-FL,29 Jan 2019,L127396,S52174443
213,Hairy Woodpecker,1,Babcock-Webb WMA,US-FL,29 Jan 2019,L127396,S52174443
214,Pileated Woodpecker,1,"The Plantation (Restricted Access), Fort Myers, FL",US-FL,02 Jan 2019,L6319667,S51220503
215,Northern Flicker,2,Estero Bay Preserve SP--Winkler Point,US-FL,01 Jan 2019,L2589166,S51174840
216,Crested Caracara,2,Felda Church Road,US-FL,06 Jan 2019,L4108979,S51395973
217,American Kestrel,3,Felda Church Road,US-FL,06 Jan 2019,L4108979,S51395973
218,Merlin,1,Estero Bay Preserve SP--Winkler Point,US-FL,04 Jan 2019,L2589166,S51291796
219,Aplomado Falcon,1,Cameron Co.--TX100--Aplomado Viewing Area,US-TX,10 Oct 2019,L3322724,S60510846
220,Peregrine Falcon,1,Stormwater Treatment Area 5/6,US-FL,12 Jan 2019,L207305,S51593860
221,Monk Parakeet,3,"4916 Southwest 3rd Avenue, Cape Coral, Florida, US (26.56, -81.981)",US-FL,08 Jan 2019,L8392022,S51459277
222,Yellow-chevroned Parakeet,4,"Biltmore Hotel, Coral Gables, Florida, US (25.741, -80.278)",US-FL,16 Feb 2019,L8631795,S52786790
223,Red-crowned Parrot,120,Brownsville--Oliveira Park,US-TX,10 Oct 2019,L1918641,S60515219
224,Red-lored Parrot,10,Brownsville--Oliveira Park,US-TX,10 Oct 2019,L1918641,S60515219
225,White-fronted Parrot,20,Brownsville--Oliveira Park,US-TX,10 Oct 2019,L1918641,S60515219
226,Nanday Parakeet,28,Celery Fields,US-FL,10 Jan 2019,L234146,S51520729
227,Mitred Parakeet,3,"Biltmore Hotel, Coral Gables, Florida, US (25.741, -80.278)",US-FL,16 Feb 2019,L8631795,S52786790
228,Red-masked Parakeet,11,"Biltmore Hotel, Coral Gables, Florida, US (25.741, -80.278)",US-FL,16 Feb 2019,L8631795,S52786790
229,Northern Beardless-Tyrannulet,1,Frontera Audubon Center (LTC 058),US-TX,06 Oct 2019,L209876,S60404778
230,Eastern Wood-Pewee,2,Point Ybel Lighthouse Beach Park,US-FL,21 Apr 2019,L127398,S55210235
231,Yellow-bellied Flycatcher,1,Frances Slocum SP,US-PA,25 May 2019,L443823,S56716993
232,Acadian Flycatcher,1,Point Ybel Lighthouse Beach Park,US-FL,21 Apr 2019,L127398,S55210235
233,Alder Flycatcher,1,Frances Slocum SP,US-PA,25 May 2019,L443823,S56716993
234,Willow Flycatcher,1,Frances Slocum SP,US-PA,25 May 2019,L443823,S56716993
235,Least Flycatcher,1,Celery Fields--South Cell,US-FL,31 Jan 2019,L1241076,S52225242
236,Black Phoebe,2,Max A Mandel Golf Course,US-TX,09 Oct 2019,L3715748,S60479819
237,Eastern Phoebe,2,Estero Bay Preserve SP--Winkler Point,US-FL,01 Jan 2019,L2589166,S51174840
238,Vermilion Flycatcher,1,Estero Llano Grande SP WBC (LTC 054),US-TX,07 Oct 2019,L259855,S60426434
239,Ash-throated Flycatcher,1,Lake Apopka Wildlife Drive,US-FL,25 Jan 2019,L298649,S52039495
240,Great Crested Flycatcher,1,"The Plantation (Restricted Access), Fort Myers, FL",US-FL,13 Jan 2019,L6319667,S51625556
241,Great Kiskadee,7,Bentsen-Rio Grande Val. SP WBC (Mission) (LTC 069),US-TX,06 Oct 2019,L128890,S60397298
242,Tropical Kingbird,1,Stormwater Treatment Area 5/6,US-FL,12 Jan 2019,L207305,S51593860
243,Couch's Kingbird,7,Bentsen-Rio Grande Val. SP WBC (Mission) (LTC 069),US-TX,06 Oct 2019,L128890,S60397298
244,Western Kingbird,3,Felda Church Road,US-FL,23 Mar 2019,L4108979,S54128447
245,Eastern Kingbird,1,Pinecraft Park,US-FL,09 Apr 2019,L1877656,S54754035
246,Scissor-tailed Flycatcher,1,"Keri Road, LaBelle, Florida, US (26.596, -81.436)",US-FL,07 Jan 2019,L8388173,S51431865
247,White-eyed Vireo,2,Shell Creek Preserve/Nellis Lane,US-FL,06 Jan 2019,L8381920,S51376513
