Row #,Species,Count,Location,S/P,Date,LocID,SubID
233,Wilson's Phalarope,1,Hammonasset Beach SP--West End,US-CT,23 May 2019,L109205,S56658550
234,Red-necked Phalarope,1,Portland Fairgrounds,US-CT,28 May 2018,L759432,S46109509
235,Red Phalarope,1,BBC Pelagic 22 Sep 2019 - leg I,US-MA,22 Sep 2019,L9950592,S60066280
236,Spotted Sandpiper,1,Hartford Reservoir No. 6,US-CT,10 Aug 2017,L607644,S38574234
237,Solitary Sandpiper,1,Fisher Meadows Recreation Area,US-CT,29 Aug 2017,L733301,S38889848
238,Greater Yellowlegs,1,J. N. Ding Darling NWR--Wildlife Drive,US-FL,20 Aug 2017,L823147,S38729364
239,Willet,8,San Carlos Bay/Bunche Beach Preserve,US-FL,13 Aug 2017,L301036,S38620018
240,Lesser Yellowlegs,2,Great Pond Trail,US-CT,08 Sep 2017,L2128535,S39063358
241,South Polar Skua,1,"(40.8959,-69.5293) - J",US-MA,22 Sep 2019,L9947957,S60066273
242,Pomarine Jaeger,1,"Florida, US (24.635, -81.905)",US-FL,22 Mar 2018,L7110886,S43871703
243,Parasitic Jaeger,2,Orient Point to New London Ferry (NY side),US-NY,27 Jul 2018,L1358358,S47484436
244,Long-tailed Jaeger,1,BBC Pelagic 22 Sep 2019 - leg E,US-MA,22 Sep 2019,L9950577,S60195284
245,Common Murre,11,"Steuben, Maine, US (44.352, -67.886)",US-ME,01 Jul 2018,L7657861,S46940153
246,Razorbill,7,"Steuben, Maine, US (44.352, -67.886)",US-ME,01 Jul 2018,L7657861,S46940153
247,Black Guillemot,2,Rachael Carson Preserve,US-ME,30 Jun 2018,L7260275,S46911833
248,Pigeon Guillemot,1,"Pelican, Alaska, US (58.184, -136.377)",US-AK,29 Aug 2018,L7872713,S48150456
249,Marbled Murrelet,1,"Seward--Marathon Campground, Seward Waterfront Pk.",US-AK,24 Aug 2018,L2752419,S48050667
250,Cassin's Auklet,1,"(59.758, -142.947)",US-AK,27 Aug 2018,L7867919,S48113601
251,Rhinoceros Auklet,2,"(59.758, -142.947)",US-AK,27 Aug 2018,L7867919,S48113601
252,Atlantic Puffin,12,"Boat Trip, New Harbor - Eastern Egg Rock (crossing ONLY, not harbor or island)",US-ME,30 Jun 2018,L3780865,S46938607
253,Tufted Puffin,5,"Seward, Alaska, US (59.914, -149.383)",US-AK,25 Aug 2018,L7861696,S48074481
254,Black-legged Kittiwake,2,Seward--Small Boat Harbor,US-AK,24 Aug 2018,L4891872,S48045541
255,Sabine's Gull,1,BBC Pelagic 21 Sep 2019 - leg A,US-MA,21 Sep 2019,L9950520,S60066360
256,Bonaparte's Gull,15,North Point Park,US-WI,28 Jun 2018,L169152,S46858715
257,Black-headed Gull,1,Short Beach Park,US-CT,10 Sep 2019,L249800,S59659287
258,Laughing Gull,1,San Carlos Bay/Bunche Beach Preserve,US-FL,13 Aug 2017,L301036,S38620018
259,Franklin's Gull,6,Minnesota Landscape Arboretum,US-MN,05 Aug 2018,L1049490,S47672904
260,Belcher's Gull,1,"1301 Avenida Jose Larco, Miraflores, Gobierno Regional de Lima, PE (-12.131, -77.03)",PE-LIM,03 Mar 2019,L8727366,S53315045
261,Heermann's Gull,6,"1830 Avenida Del Mundo, Coronado, California, US (32.674, -117.172)",US-CA,23 Sep 2018,L7954413,S48704224
262,Mew Gull,2,"(58.194, -136.347)",US-AK,29 Aug 2018,L7873524,S48158686
263,Ring-billed Gull,1,Hartford Reservoir No. 6,US-CT,10 Aug 2017,L607644,S38574234
264,Western Gull,23,Bayfront Park (J St.),US-CA,22 Sep 2018,L827977,S48678826
265,California Gull,1,"Front Street, Alert Bay, British Columbia, CA (50.593, -126.941)",CA-BC,05 Sep 2018,L7897332,S48313285
266,Herring Gull,1,Hammonasset Beach SP,US-CT,11 Sep 2017,L298379,S39127718
267,Armenian Gull,1,"Shlomo Lahat Promenade, Tel Aviv-Yafo, Tel Aviv District, IL (32.086, 34.766)",IL-TA,05 Sep 2019,L9878983,S59525840
268,Iceland Gull,1,Harkness Memorial SP,US-CT,04 Dec 2017,L297947,S40904810
269,Lesser Black-backed Gull,1,Lake Manyara NP (Arusha Province),TZ-01,30 Jul 2017,L1033409,S38502540
270,Glaucous-winged Gull,2,Seward--Small Boat Harbor,US-AK,24 Aug 2018,L4891872,S48045541
271,Great Black-backed Gull,2,Hammonasset Beach SP,US-CT,11 Sep 2017,L298379,S39127718
272,Brown Noddy,50,Dry Tortugas NP--Garden Key,US-FL,22 Mar 2018,L127452,S43914060
273,Sooty Tern,90,Dry Tortugas NP--Garden Key,US-FL,22 Mar 2018,L127452,S43914060
274,Bridled Tern,1,"US (28.432, -80.259)",US-FL,19 May 2018,L7441320,S45872336
275,Least Tern,50,Coconut Island,US-FL,27 Apr 2018,L7292449,S44990150
276,Yellow-billed Tern,40,"Iquitos, Loreto, PE (-3.723, -73.237)",PE-LOR,04 Mar 2019,L8820095,S53643222
277,Large-billed Tern,13,"Iquitos, Loreto, PE (-3.723, -73.237)",PE-LOR,04 Mar 2019,L8820095,S53643222
278,Gull-billed Tern,1,Orlando Wetlands Park,US-FL,22 Jan 2019,L452007,S51929757
279,Caspian Tern,2,San Carlos Bay/Bunche Beach Preserve,US-FL,31 Oct 2017,L301036,S40243285
280,Black Tern,2,"US (28.432, -80.259)",US-FL,19 May 2018,L7441320,S45872336
281,Roseate Tern,4,"Boat Trip, New Harbor - Eastern Egg Rock (crossing ONLY, not harbor or island)",US-ME,30 Jun 2018,L3780865,S46938607
282,Common Tern,1,Fort De Soto Park,US-FL,16 Apr 2018,L127332,S44634594
283,Arctic Tern,3,"Boat Trip, New Harbor - Eastern Egg Rock (crossing ONLY, not harbor or island)",US-ME,30 Jun 2018,L3780865,S46938607
284,Forster's Tern,,Indian Town Harbor,US-CT,16 Sep 2017,L6277322,S39234078
285,Royal Tern,,San Carlos Bay/Bunche Beach Preserve,US-FL,13 Aug 2017,L301036,S38620018
286,Sandwich Tern,3,Bowditch Point Park,US-FL,26 Oct 2017,L337347,S40129407
287,Black Skimmer,8,San Carlos Bay/Bunche Beach Preserve,US-FL,31 Oct 2017,L301036,S40243285
288,Sunbittern,1,Canopy Adventure,PA-2,13 Apr 2018,L1659574,S44527311
289,Red-throated Loon,2,Stratford Point,US-CT,20 Nov 2017,L611064,S40631987
290,Pacific Loon,1,"Sitka, Alaska, US (57.012, -135.34)",US-AK,30 Aug 2018,L7876675,S48179644
291,Common Loon,1,Milford Pt. (CT Audubon),US-CT,20 Nov 2017,L109216,S40633300
292,Black-footed Albatross,1,"(59.738, -144.025)",US-AK,27 Aug 2018,L7867758,S48112532
293,Wilson's Storm-Petrel,2,"Unknown Location - (28.363, -80.234)",US-FL,19 May 2018,L7440231,S45866309
294,White-faced Storm-Petrel,1,BBC Pelagic 22 Sep 2019 - leg G,US-MA,22 Sep 2019,L9950589,S60066291
295,Fork-tailed Storm-Petrel,1,"US (59.797, -148.857)",US-AK,25 Aug 2018,L7861902,S48075697
296,Leach's Storm-Petrel,1,BBC Pelagic 21 Sep 2019 - leg G,US-MA,21 Sep 2019,L9950529,S60066336
297,Band-rumped Storm-Petrel,1,"(28.586, -79.9)",US-FL,19 May 2018,L7441083,S45870969
298,Northern Fulmar,1,"Steuben, Maine, US (44.352, -67.886)",US-ME,01 Jul 2018,L7657861,S46940153
