Row #,Species,Count,Location,S/P,Date,LocID,SubID
163,Red-cockaded Woodpecker,1,Babcock-Webb WMA,US-FL,19 Jan 2018,L127396,S42065694
164,Hairy Woodpecker,1,Babcock-Webb WMA,US-FL,29 Jan 2019,L127396,S52174443
165,Pileated Woodpecker,2,Six Mile Cypress Slough Preserve,US-FL,12 Aug 2017,L424819,S38601114
166,Northern Flicker,1,"The Plantation (Restricted Access), Fort Myers, FL",US-FL,06 Oct 2017,L6319667,S39578004
167,Crested Caracara,1,Corkscrew Rd & SR 82,US-FL,08 Jan 2017,L6163535,S38539020
168,American Kestrel,1,Wild Turkey Strand Preserve,US-FL,25 Oct 2017,L1903106,S40113848
169,Merlin,1,Harns Marsh,US-FL,06 Jan 2018,L830108,S41671901
170,Peregrine Falcon,2,Stormwater Treatment Area 5/6,US-FL,13 Jan 2018,L207305,S41871319
171,Monk Parakeet,6,Pelican Blvd. Baseball Fields,US-FL,01 Nov 2017,L886942,S40248340
172,White-winged Parakeet,1,"4801 Northwest 7th Street, Miami, Florida, US (25.78, -80.273)",US-FL,25 Feb 2018,L6984601,S43165076
173,Yellow-chevroned Parakeet,4,"Biltmore Hotel, Coral Gables, Florida, US (25.741, -80.278)",US-FL,16 Feb 2019,L8631795,S52786790
174,Nanday Parakeet,5,Manor Park,US-FL,05 Feb 2018,L6808817,S42518260
175,Green Parakeet,1,"301-351 Hunting Lodge Drive, Miami Springs, Florida, US (25.819, -80.294)",US-FL,25 Feb 2018,L6988204,S43189388
176,Crimson-fronted Parakeet,2,"6498 Northwest 38th Terrace, Virginia Gardens, Florida, US (25.81, -80.302)",US-FL,25 Feb 2018,L6987713,S43186092
177,Mitred Parakeet,7,"576 Southwest 91 Avenue, Miami, Florida, US (25.684, -80.343)",US-FL,25 Feb 2018,L6986137,S43176100
178,Red-masked Parakeet,1,"301-351 Hunting Lodge Drive, Miami Springs, Florida, US (25.819, -80.294)",US-FL,25 Feb 2018,L6988204,S43189388
179,White-eyed Parakeet,1,"6498 Northwest 38th Terrace, Virginia Gardens, Florida, US (25.81, -80.302)",US-FL,25 Feb 2018,L6987713,S43186092
180,Eastern Wood-Pewee,1,Fort De Soto Park,US-FL,25 Apr 2018,L127332,S44932073
181,Acadian Flycatcher,1,Point Ybel Lighthouse Beach Park,US-FL,21 Apr 2019,L127398,S55210235
182,Least Flycatcher,1,Celery Fields--South Cell,US-FL,31 Jan 2019,L1241076,S52225242
183,Eastern Phoebe,1,J. N. Ding Darling NWR--Bailey Tract,US-FL,18 Oct 2017,L127399,S39996974
184,Ash-throated Flycatcher,1,Lake Apopka Wildlife Drive,US-FL,25 Jan 2019,L298649,S52039495
185,Great Crested Flycatcher,1,Corkscrew Swamp Sanctuary,US-FL,15 Aug 2017,L127407,S38656353
186,Tropical Kingbird,1,Stormwater Treatment Area 5/6,US-FL,13 Jan 2018,L207305,S41871319
187,Western Kingbird,3,Felda Church Road,US-FL,23 Mar 2019,L4108979,S54128447
188,Eastern Kingbird,1,Dry Tortugas NP--Garden Key,US-FL,22 Mar 2018,L127452,S43914060
189,Gray Kingbird,1,Stormwater Treatment Area 5/6,US-FL,13 Jan 2018,L207305,S41871319
190,Scissor-tailed Flycatcher,2,Stormwater Treatment Area 5/6,US-FL,13 Jan 2018,L207305,S41871319
191,White-eyed Vireo,1,Corkscrew Regional Ecosystem Watershed--Bird Rookery Swamp Trails,US-FL,02 Nov 2017,L1061691,S40260972
192,Thick-billed Vireo,1,Crandon Park,US-FL,17 Feb 2019,L127422,S52828285
193,Yellow-throated Vireo,1,Six Mile Cypress Slough Preserve,US-FL,26 Mar 2018,L424819,S43975623
194,Blue-headed Vireo,1,Six Mile Cypress Slough Preserve,US-FL,09 Nov 2017,L424819,S40396799
195,Philadelphia Vireo,1,Corkscrew Regional Ecosystem Watershed--Bird Rookery Swamp Trails,US-FL,27 Oct 2019,L1061691,S60965724
196,Red-eyed Vireo,3,Fort De Soto Park,US-FL,16 Apr 2018,L127332,S44634594
197,Loggerhead Shrike,1,Aircraft Observation Marsh,US-FL,02 Oct 2017,L5740111,S39513588
198,Blue Jay,2,Harns Marsh,US-FL,19 Oct 2017,L830108,S40010621
199,Florida Scrub-Jay,1,"2524 Northwest 15th Avenue, Cape Coral, Florida, US (26.701, -82.005)",US-FL,07 Jan 2018,L6681539,S41704420
200,House Crow,1,Nokomis Public Beach,US-FL,20 Mar 2019,L2602995,S54037924
201,American Crow,11,"10401 Dartington Drive, Fort Myers, Florida, US (26.556, -81.779)",US-FL,12 Aug 2017,L6175420,S38607283
202,Fish Crow,32,Lakes Regional Park,US-FL,28 Oct 2017,L305312,S40168176
203,Carolina Chickadee,2,"2905 North Monroe Street, Tallahassee, Florida, US (30.483, -84.306)",US-FL,02 May 2019,L9164799,S55686096
204,Tufted Titmouse,1,Six Mile Cypress Slough Preserve,US-FL,10 Nov 2017,L424819,S40424453
205,Northern Rough-winged Swallow,40,Stormwater Treatment Area 5/6,US-FL,13 Jan 2018,L207305,S41871319
206,Purple Martin,10,Celery Fields,US-FL,05 Feb 2018,L234146,S42522301
207,Tree Swallow,50,Wild Turkey Strand Preserve,US-FL,04 Nov 2017,L1903106,S40306833
208,Bank Swallow,2,Fort De Soto Park,US-FL,25 Apr 2018,L127332,S44932073
209,Barn Swallow,4,Dry Tortugas NP--Garden Key,US-FL,22 Mar 2018,L127452,S43914060
210,Cave Swallow,2,Dry Tortugas NP--Garden Key,US-FL,22 Mar 2018,L127452,S43914060
211,Red-whiskered Bulbul,2,"8760-8780 Southwest 81st Street, Miami, Florida, US (25.694, -80.335)",US-FL,25 Feb 2018,L6985787,S43173524
212,Ruby-crowned Kinglet,1,Hickey Creek Wildlife & Environmental Area,US-FL,08 Feb 2018,L1349962,S42590876
213,Brown-headed Nuthatch,4,Pine Lake Preserve,US-FL,02 Jan 2018,L335686,S41549892
214,Blue-gray Gnatcatcher,1,Corkscrew Swamp Sanctuary,US-FL,15 Aug 2017,L127407,S38656353
215,House Wren,1,Caloosahatchee Creeks Preserve--East,US-FL,21 Oct 2017,L674344,S40043417
216,Sedge Wren,1,Dinner Island Ranch WMA,US-FL,26 Jan 2018,L840220,S42249347
217,Marsh Wren,1,Wild Turkey Strand Preserve,US-FL,09 Nov 2018,L1903106,S49774669
218,Carolina Wren,1,Corkscrew Swamp Sanctuary,US-FL,15 Aug 2017,L127407,S38656353
219,Common Hill Myna,1,"6840-6904 Southwest 65th Avenue, South Miami, Florida, US (25.706, -80.3)",US-FL,25 Feb 2018,L6985137,S43167830
220,European Starling,5,Pelican Blvd. Baseball Fields,US-FL,07 Jan 2018,L886942,S41702365
221,Common Myna,3,"720 Northwest 37th Avenue, Miami, Florida, US (25.78, -80.256)",US-FL,25 Feb 2018,L6984609,S43165115
222,Gray Catbird,6,Wild Turkey Strand Preserve,US-FL,16 Oct 2017,L1903106,S39958717
223,Brown Thrasher,3,Oscar Scherer SP,US-FL,05 Feb 2018,L127350,S42521196
224,Bahama Mockingbird,1,Lantana Nature Preserve,US-FL,25 Apr 2019,L1293707,S55400945
225,Northern Mockingbird,3,"10401 Dartington Drive, Fort Myers, Florida, US (26.556, -81.779)",US-FL,12 Aug 2017,L6175420,S38607283
226,Eastern Bluebird,5,Babcock-Webb WMA,US-FL,19 Jan 2018,L127396,S42065694
227,Gray-cheeked Thrush,2,Fort De Soto Park,US-FL,25 Apr 2018,L127332,S44932073
228,Swainson's Thrush,1,Fort De Soto Park,US-FL,25 Apr 2018,L127332,S44932073
229,Hermit Thrush,1,Babcock-Webb WMA,US-FL,19 Mar 2018,L127396,S43783871
230,Wood Thrush,1,Point Ybel Lighthouse Beach Park,US-FL,18 Apr 2019,L127398,S55086818
